transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,year,month,age_group,revenue_per_item
40,2021-06-22,CUST040,Male,45,Home,1,50,50,2021,6,36-50,50.0
41,2021-02-22,CUST041,Male,34,Books,2,25,50,2021,2,26-35,25.0
42,2021-02-17,CUST042,Male,22,Beauty,3,300,900,2021,2,18-25,300.0
43,2021-07-14,CUST043,Female,48,Home,1,300,300,2021,7,36-50,300.0
44,2021-02-19,CUST044,Female,22,Home,1,25,25,2021,2,18-25,25.0
45,2021-07-03,CUST045,Female,55,Accessories,1,30,30,2021,7,50+,30.0
46,2021-06-26,CUST046,Female,20,Clothing,4,300,1200,2021,6,18-25,300.0
47,2021-11-06,CUST047,Female,40,Electronics,3,500,1500,2021,11,36-50,500.0
48,2021-05-16,CUST048,Male,54,Clothing,3,300,900,2021,5,50+,300.0
49,2021-01-23,CUST049,Female,54,Clothing,2,500,1000,2021,1,50+,500.0
50,2021-08-24,CUST050,Female,27,Books,3,25,75,2021,8,26-35,25.0
51,2021-10-02,CUST051,Male,27,Accessories,3,25,75,2021,10,26-35,25.0
52,2021-03-05,CUST052,Female,36,Sports,1,300,300,2021,3,36-50,300.0
53,2021-07-13,CUST053,Male,34,Books,2,50,100,2021,7,26-35,50.0
54,2021-02-10,CUST054,Female,38,Accessories,3,500,1500,2021,2,36-50,500.0
55,2021-10-10,CUST055,Male,31,Home,4,30,120,2021,10,26-35,30.0
56,2021-05-31,CUST056,Female,26,Clothing,3,300,900,2021,5,26-35,300.0
57,2021-11-18,CUST057,Female,63,Home,1,30,30,2021,11,50+,30.0
58,2021-11-13,CUST058,Male,18,Sports,4,300,1200,2021,11,,300.0
59,2021-07-05,CUST059,Male,62,Home,1,50,50,2021,7,50+,50.0
60,2021-10-23,CUST060,Male,30,Sports,3,50,150,2021,10,26-35,50.0
61,2021-04-09,CUST061,Male,21,Accessories,4,50,200,2021,4,18-25,50.0
62,2021-12-27,CUST062,Male,18,Beauty,2,50,100,2021,12,,50.0
63,2021-02-05,CUST063,Male,57,Electronics,2,25,50,2021,2,50+,25.0
64,2021-01-24,CUST064,Male,49,Books,4,25,100,2021,1,36-50,25.0
65,2021-12-05,CUST065,Male,51,Clothing,4,500,2000,2021,12,50+,500.0
66,2021-04-27,CUST066,Female,45,Beauty,1,30,30,2021,4,36-50,30.0
67,2021-05-29,CUST067,Female,48,Sports,4,300,1200,2021,5,36-50,300.0
68,2021-02-10,CUST068,Male,25,Electronics,1,300,300,2021,2,18-25,300.0
69,2021-04-30,CUST069,Female,56,Sports,3,25,75,2021,4,50+,25.0
70,2021-02-21,CUST070,Female,43,Books,1,300,300,2021,2,36-50,300.0
71,2021-07-14,CUST071,Female,51,Sports,4,25,100,2021,7,50+,25.0
72,2021-05-23,CUST072,Female,20,Accessories,4,500,2000,2021,5,18-25,500.0
73,2021-08-21,CUST073,Male,29,Beauty,3,30,90,2021,8,26-35,30.0
74,2021-11-22,CUST074,Female,18,Home,4,500,2000,2021,11,,500.0
75,2021-07-06,CUST075,Male,61,Electronics,4,50,200,2021,7,50+,50.0
76,2021-03-25,CUST076,Female,22,Sports,2,50,100,2021,3,18-25,50.0
77,2021-07-09,CUST077,Female,47,Clothing,2,50,100,2021,7,36-50,50.0
78,2021-07-01,CUST078,Female,47,Books,3,500,1500,2021,7,36-50,500.0
79,2021-04-18,CUST079,Male,34,Sports,1,300,300,2021,4,26-35,300.0
80,2021-12-10,CUST080,Female,64,Clothing,2,30,60,2021,12,50+,30.0
81,2021-05-17,CUST081,Male,40,Electronics,1,50,50,2021,5,36-50,50.0
82,2021-12-26,CUST082,Female,32,Clothing,4,50,200,2021,12,26-35,50.0
83,2021-12-16,CUST083,Male,54,Beauty,2,50,100,2021,12,50+,50.0
84,2021-11-28,CUST084,Female,38,Beauty,3,30,90,2021,11,36-50,30.0
85,2021-02-06,CUST085,Male,31,Beauty,3,50,150,2021,2,26-35,50.0
86,2021-11-08,CUST086,Male,19,Electronics,3,30,90,2021,11,18-25,30.0
87,2021-11-22,CUST087,Female,28,Clothing,2,50,100,2021,11,26-35,50.0
88,2021-03-29,CUST088,Male,56,Accessories,1,500,500,2021,3,50+,500.0
89,2021-10-01,CUST089,Female,55,Sports,4,500,2000,2021,10,50+,500.0
90,2021-05-06,CUST090,Female,51,Beauty,1,30,30,2021,5,50+,30.0
91,2021-03-25,CUST091,Female,55,Beauty,1,500,500,2021,3,50+,500.0
92,2021-08-25,CUST092,Female,51,Sports,4,30,120,2021,8,50+,30.0
93,2021-07-14,CUST093,Female,35,Beauty,4,500,2000,2021,7,26-35,500.0
94,2021-05-19,CUST094,Female,47,Beauty,2,500,1000,2021,5,36-50,500.0
95,2021-11-24,CUST095,Female,32,Electronics,2,30,60,2021,11,26-35,30.0
96,2021-12-19,CUST096,Female,44,Home,2,300,600,2021,12,36-50,300.0
97,2021-10-13,CUST097,Female,51,Books,2,500,1000,2021,10,50+,500.0
98,2021-04-23,CUST098,Female,55,Beauty,2,50,100,2021,4,50+,50.0
99,2021-12-17,CUST099,Female,50,Home,4,300,1200,2021,12,36-50,300.0
100,2021-06-16,CUST100,Male,41,Books,1,30,30,2021,6,36-50,30.0
101,2021-01-29,CUST101,Male,32,Books,2,300,600,2021,1,26-35,300.0
102,2021-04-28,CUST102,Female,47,Electronics,2,25,50,2021,4,36-50,25.0
103,2021-01-17,CUST103,Female,59,Beauty,1,25,25,2021,1,50+,25.0
104,2021-06-11,CUST104,Female,34,Beauty,2,500,1000,2021,6,26-35,500.0
105,2021-07-25,CUST105,Female,22,Sports,1,500,500,2021,7,18-25,500.0
106,2021-05-18,CUST106,Female,46,Home,1,50,50,2021,5,36-50,50.0
107,2021-02-03,CUST107,Female,21,Beauty,4,300,1200,2021,2,18-25,300.0
108,2021-04-19,CUST108,Female,27,Accessories,3,25,75,2021,4,26-35,25.0
109,2021-10-18,CUST109,Female,34,Sports,4,500,2000,2021,10,26-35,500.0
110,2021-06-11,CUST110,Male,27,Electronics,3,300,900,2021,6,26-35,300.0
111,2021-04-19,CUST111,Female,34,Books,3,500,1500,2021,4,26-35,500.0
112,2021-12-02,CUST112,Male,37,Electronics,3,500,1500,2021,12,36-50,500.0
113,2021-09-13,CUST113,Female,41,Clothing,2,25,50,2021,9,36-50,25.0
114,2021-07-22,CUST114,Female,22,Books,4,25,100,2021,7,18-25,25.0
115,2021-11-26,CUST115,Male,51,Electronics,3,500,1500,2021,11,50+,500.0
116,2021-08-23,CUST116,Female,23,Beauty,1,30,30,2021,8,18-25,30.0
117,2021-03-15,CUST117,Male,19,Clothing,2,500,1000,2021,3,18-25,500.0
118,2021-05-16,CUST118,Female,30,Sports,4,500,2000,2021,5,26-35,500.0
119,2021-03-13,CUST119,Female,60,Clothing,3,50,150,2021,3,50+,50.0
120,2021-05-07,CUST120,Male,60,Electronics,1,50,50,2021,5,50+,50.0
121,2021-10-15,CUST121,Female,28,Sports,4,50,200,2021,10,26-35,50.0
122,2021-10-03,CUST122,Male,64,Sports,4,30,120,2021,10,50+,30.0
123,2021-05-15,CUST123,Female,40,Beauty,2,30,60,2021,5,36-50,30.0
124,2021-10-27,CUST124,Male,33,Sports,4,500,2000,2021,10,26-35,500.0
125,2021-08-08,CUST125,Male,48,Books,2,50,100,2021,8,36-50,50.0
126,2021-10-26,CUST126,Female,28,Home,3,30,90,2021,10,26-35,30.0
127,2021-07-24,CUST127,Female,33,Beauty,2,25,50,2021,7,26-35,25.0
128,2021-07-05,CUST128,Male,25,Electronics,1,500,500,2021,7,18-25,500.0
129,2021-04-23,CUST129,Female,21,Electronics,2,300,600,2021,4,18-25,300.0
130,2021-03-12,CUST130,Female,57,Electronics,1,500,500,2021,3,50+,500.0
131,2021-09-18,CUST131,Female,21,Home,2,300,600,2021,9,18-25,300.0
132,2021-09-10,CUST132,Male,42,Books,4,50,200,2021,9,36-50,50.0
133,2021-02-16,CUST133,Male,20,Home,3,300,900,2021,2,18-25,300.0
134,2021-01-25,CUST134,Male,49,Clothing,1,50,50,2021,1,36-50,50.0
135,2021-02-26,CUST135,Male,20,Books,2,25,50,2021,2,18-25,25.0
136,2021-03-20,CUST136,Male,44,Beauty,2,300,600,2021,3,36-50,300.0
137,2021-11-18,CUST137,Male,46,Sports,2,500,1000,2021,11,36-50,500.0
138,2021-03-23,CUST138,Male,49,Accessories,4,50,200,2021,3,36-50,50.0
139,2021-12-15,CUST139,Male,36,Beauty,4,500,2000,2021,12,36-50,500.0
140,2021-08-05,CUST140,Male,38,Home,1,30,30,2021,8,36-50,30.0
141,2021-11-02,CUST141,Female,22,Sports,1,50,50,2021,11,18-25,50.0
142,2021-02-02,CUST142,Male,35,Beauty,4,300,1200,2021,2,26-35,300.0
143,2021-07-17,CUST143,Female,45,Clothing,1,50,50,2021,7,36-50,50.0
144,2021-07-15,CUST144,Female,59,Beauty,3,500,1500,2021,7,50+,500.0
145,2021-11-02,CUST145,Female,39,Books,3,25,75,2021,11,36-50,25.0
146,2021-08-28,CUST146,Male,38,Beauty,4,50,200,2021,8,36-50,50.0
147,2021-09-28,CUST147,Male,23,Home,1,300,300,2021,9,18-25,300.0
148,2021-05-09,CUST148,Male,18,Accessories,2,30,60,2021,5,,30.0
149,2021-10-11,CUST149,Male,22,Clothing,3,25,75,2021,10,18-25,25.0
150,2021-01-06,CUST150,Female,58,Books,4,30,120,2021,1,50+,30.0
151,2021-12-15,CUST151,Male,29,Sports,1,50,50,2021,12,26-35,50.0
152,2021-02-28,CUST152,Male,43,Home,4,500,2000,2021,2,36-50,500.0
153,2021-12-16,CUST153,Male,63,Electronics,2,500,1000,2021,12,50+,500.0
154,2021-10-02,CUST154,Male,51,Electronics,3,300,900,2021,10,50+,300.0
155,2021-05-17,CUST155,Male,31,Books,4,500,2000,2021,5,26-35,500.0
156,2021-11-25,CUST156,Female,43,Home,4,25,100,2021,11,36-50,25.0
157,2021-06-24,CUST157,Male,62,Home,4,500,2000,2021,6,50+,500.0
158,2021-02-27,CUST158,Female,44,Home,2,300,600,2021,2,36-50,300.0
159,2021-05-31,CUST159,Male,26,Beauty,4,50,200,2021,5,26-35,50.0
160,2021-08-11,CUST160,Female,43,Accessories,2,50,100,2021,8,36-50,50.0
161,2021-03-22,CUST161,Male,64,Electronics,2,500,1000,2021,3,50+,500.0
162,2021-08-21,CUST162,Male,39,Electronics,2,30,60,2021,8,36-50,30.0
163,2021-01-02,CUST163,Female,64,Beauty,3,50,150,2021,1,50+,50.0
164,2021-05-15,CUST164,Female,47,Electronics,3,500,1500,2021,5,36-50,500.0
165,2021-09-14,CUST165,Female,60,Sports,4,300,1200,2021,9,50+,300.0
166,2021-04-02,CUST166,Male,34,Clothing,4,500,2000,2021,4,26-35,500.0
167,2021-09-17,CUST167,Female,43,Books,3,50,150,2021,9,36-50,50.0
168,2021-02-24,CUST168,Male,53,Sports,1,300,300,2021,2,50+,300.0
169,2021-11-17,CUST169,Male,18,Accessories,3,500,1500,2021,11,,500.0
170,2021-06-02,CUST170,Female,25,Accessories,2,25,50,2021,6,18-25,25.0
171,2021-11-24,CUST171,Female,52,Books,3,300,900,2021,11,50+,300.0
172,2021-09-17,CUST172,Male,32,Electronics,2,25,50,2021,9,26-35,25.0
173,2021-11-08,CUST173,Male,64,Clothing,4,30,120,2021,11,50+,30.0
174,2021-04-12,CUST174,Female,39,Accessories,1,300,300,2021,4,36-50,300.0
175,2021-03-20,CUST175,Female,31,Electronics,4,25,100,2021,3,26-35,25.0
176,2021-07-11,CUST176,Female,43,Electronics,2,50,100,2021,7,36-50,50.0
177,2021-03-24,CUST177,Male,45,Books,2,50,100,2021,3,36-50,50.0
178,2021-10-04,CUST178,Male,40,Books,2,30,60,2021,10,36-50,30.0
179,2021-09-29,CUST179,Male,31,Electronics,1,300,300,2021,9,26-35,300.0
180,2021-01-01,CUST180,Male,41,Accessories,3,300,900,2021,1,36-50,300.0
181,2021-11-03,CUST181,Male,19,Beauty,4,300,1200,2021,11,18-25,300.0
182,2021-06-15,CUST182,Male,62,Electronics,4,30,120,2021,6,50+,30.0
183,2021-09-08,CUST183,Female,43,Sports,3,300,900,2021,9,36-50,300.0
184,2021-01-10,CUST184,Male,31,Beauty,4,50,200,2021,1,26-35,50.0
185,2021-02-27,CUST185,Male,24,Clothing,1,25,25,2021,2,18-25,25.0
186,2021-07-05,CUST186,Male,20,Books,4,50,200,2021,7,18-25,50.0
187,2021-06-07,CUST187,Female,64,Clothing,2,50,100,2021,6,50+,50.0
188,2021-05-03,CUST188,Male,40,Beauty,3,25,75,2021,5,36-50,25.0
189,2021-01-30,CUST189,Male,63,Home,1,50,50,2021,1,50+,50.0
190,2021-05-04,CUST190,Female,60,Books,3,30,90,2021,5,50+,30.0
191,2021-10-18,CUST191,Male,64,Beauty,1,25,25,2021,10,50+,25.0
192,2021-02-10,CUST192,Male,62,Beauty,2,50,100,2021,2,50+,50.0
193,2021-02-13,CUST193,Male,35,Home,3,500,1500,2021,2,26-35,500.0
194,2021-09-06,CUST194,Male,55,Beauty,4,50,200,2021,9,50+,50.0
195,2021-02-05,CUST195,Male,52,Sports,1,30,30,2021,2,50+,30.0
196,2021-09-30,CUST196,Female,32,Home,3,300,900,2021,9,26-35,300.0
197,2021-03-06,CUST197,Female,42,Books,4,50,200,2021,3,36-50,50.0
198,2021-03-07,CUST198,Female,54,Sports,3,300,900,2021,3,50+,300.0
199,2021-12-04,CUST199,Male,45,Beauty,3,500,1500,2021,12,36-50,500.0
200,2021-09-01,CUST200,Male,27,Accessories,3,50,150,2021,9,26-35,50.0
201,2021-10-09,CUST201,Male,56,Clothing,1,25,25,2021,10,50+,25.0
202,2021-03-26,CUST202,Female,34,Sports,4,300,1200,2021,3,26-35,300.0
203,2021-05-16,CUST203,Male,56,Sports,2,500,1000,2021,5,50+,500.0
204,2021-09-28,CUST204,Male,39,Sports,1,25,25,2021,9,36-50,25.0
205,2021-11-07,CUST205,Female,43,Beauty,1,25,25,2021,11,36-50,25.0
206,2021-08-05,CUST206,Male,61,Sports,1,25,25,2021,8,50+,25.0
207,2021-04-19,CUST207,Female,42,Accessories,2,25,50,2021,4,36-50,25.0
208,2021-10-04,CUST208,Female,34,Clothing,4,50,200,2021,10,26-35,50.0
209,2021-12-20,CUST209,Female,30,Accessories,4,50,200,2021,12,26-35,50.0
210,2021-04-13,CUST210,Male,37,Books,4,50,200,2021,4,36-50,50.0
211,2022-01-01,CUST211,Male,42,Accessories,3,500,1500,2022,1,36-50,500.0
212,2021-06-09,CUST212,Male,21,Home,3,500,1500,2021,6,18-25,500.0
213,2021-07-24,CUST213,Male,27,Clothing,3,500,1500,2021,7,26-35,500.0
214,2021-12-10,CUST214,Male,20,Sports,2,30,60,2021,12,18-25,30.0
215,2021-11-29,CUST215,Male,58,Beauty,3,500,1500,2021,11,50+,500.0
216,2021-07-11,CUST216,Male,62,Clothing,2,50,100,2021,7,50+,50.0
217,2021-08-13,CUST217,Female,35,Clothing,4,50,200,2021,8,26-35,50.0
218,2021-09-22,CUST218,Male,64,Clothing,3,30,90,2021,9,50+,30.0
219,2021-08-20,CUST219,Female,53,Clothing,3,30,90,2021,8,50+,30.0
220,2021-03-03,CUST220,Male,64,Accessories,1,500,500,2021,3,50+,500.0
221,2021-05-07,CUST221,Male,39,Clothing,2,300,600,2021,5,36-50,300.0
222,2021-04-26,CUST222,Male,51,Books,4,30,120,2021,4,50+,30.0
223,2021-02-02,CUST223,Female,64,Sports,1,25,25,2021,2,50+,25.0
224,2021-06-23,CUST224,Female,25,Home,1,50,50,2021,6,18-25,50.0
225,2021-01-11,CUST225,Female,57,Clothing,4,25,100,2021,1,50+,25.0
226,2021-10-29,CUST226,Female,61,Accessories,1,50,50,2021,10,50+,50.0
227,2021-10-11,CUST227,Male,36,Accessories,2,50,100,2021,10,36-50,50.0
228,2021-04-28,CUST228,Female,59,Clothing,2,30,60,2021,4,50+,30.0
229,2021-10-29,CUST229,Male,58,Sports,3,30,90,2021,10,50+,30.0
230,2021-04-23,CUST230,Male,54,Books,1,25,25,2021,4,50+,25.0
231,2021-01-04,CUST231,Female,23,Books,3,50,150,2021,1,18-25,50.0
232,2021-02-06,CUST232,Female,43,Accessories,1,25,25,2021,2,36-50,25.0
233,2021-12-29,CUST233,Female,51,Accessories,2,300,600,2021,12,50+,300.0
234,2021-11-20,CUST234,Female,62,Books,2,25,50,2021,11,50+,25.0
235,2021-01-31,CUST235,Female,23,Clothing,2,500,1000,2021,1,18-25,500.0
236,2021-04-28,CUST236,Female,54,Beauty,1,25,25,2021,4,50+,25.0
237,2021-02-04,CUST237,Female,50,Clothing,2,500,1000,2021,2,36-50,500.0
238,2021-01-17,CUST238,Female,39,Home,1,500,500,2021,1,36-50,500.0
239,2021-06-19,CUST239,Male,38,Home,3,500,1500,2021,6,36-50,500.0
240,2021-02-06,CUST240,Female,23,Electronics,1,300,300,2021,2,18-25,300.0
241,2021-09-21,CUST241,Female,23,Sports,3,25,75,2021,9,18-25,25.0
242,2021-05-02,CUST242,Male,21,Home,1,25,25,2021,5,18-25,25.0
243,2021-05-23,CUST243,Female,47,Beauty,3,300,900,2021,5,36-50,300.0
244,2021-12-09,CUST244,Male,28,Books,2,50,100,2021,12,26-35,50.0
245,2021-09-06,CUST245,Male,47,Electronics,3,30,90,2021,9,36-50,30.0
246,2021-04-20,CUST246,Female,48,Beauty,2,25,50,2021,4,36-50,25.0
247,2021-10-04,CUST247,Male,41,Clothing,2,30,60,2021,10,36-50,30.0
248,2021-03-09,CUST248,Male,26,Accessories,3,300,900,2021,3,26-35,300.0
249,2021-10-20,CUST249,Male,20,Books,1,50,50,2021,10,18-25,50.0
250,2021-10-23,CUST250,Male,48,Beauty,1,50,50,2021,10,36-50,50.0
251,2021-08-31,CUST251,Female,57,Sports,4,50,200,2021,8,50+,50.0
252,2021-05-05,CUST252,Male,54,Sports,1,300,300,2021,5,50+,300.0
253,2021-08-31,CUST253,Female,53,Clothing,4,500,2000,2021,8,50+,500.0
254,2021-07-28,CUST254,Male,41,Accessories,1,500,500,2021,7,36-50,500.0
255,2021-04-08,CUST255,Male,48,Beauty,1,30,30,2021,4,36-50,30.0
256,2021-02-18,CUST256,Male,23,Sports,2,500,1000,2021,2,18-25,500.0
257,2021-02-19,CUST257,Male,19,Clothing,4,500,2000,2021,2,18-25,500.0
258,2021-12-04,CUST258,Female,37,Electronics,1,50,50,2021,12,36-50,50.0
259,2021-08-09,CUST259,Female,45,Beauty,4,50,200,2021,8,36-50,50.0
260,2021-07-01,CUST260,Male,28,Sports,2,30,60,2021,7,26-35,30.0
261,2021-08-05,CUST261,Male,21,Clothing,2,25,50,2021,8,18-25,25.0
262,2021-07-30,CUST262,Female,32,Books,4,30,120,2021,7,26-35,30.0
263,2021-08-28,CUST263,Male,23,Clothing,2,30,60,2021,8,18-25,30.0
264,2021-01-28,CUST264,Male,47,Beauty,3,300,900,2021,1,36-50,300.0
265,2021-12-11,CUST265,Male,55,Home,3,300,900,2021,12,50+,300.0
266,2021-12-01,CUST266,Female,19,Books,2,30,60,2021,12,18-25,30.0
267,2021-11-27,CUST267,Female,32,Home,3,30,90,2021,11,26-35,30.0
268,2021-02-20,CUST268,Female,28,Clothing,1,30,30,2021,2,26-35,30.0
269,2021-02-01,CUST269,Male,25,Sports,4,500,2000,2021,2,18-25,500.0
270,2021-07-26,CUST270,Male,43,Beauty,1,300,300,2021,7,36-50,300.0
271,2021-06-23,CUST271,Female,62,Sports,4,30,120,2021,6,50+,30.0
272,2021-02-25,CUST272,Female,61,Home,2,50,100,2021,2,50+,50.0
273,2021-05-08,CUST273,Female,22,Accessories,1,50,50,2021,5,18-25,50.0
274,2021-04-09,CUST274,Female,23,Beauty,2,500,1000,2021,4,18-25,500.0
275,2021-04-08,CUST275,Male,43,Home,2,500,1000,2021,4,36-50,500.0
276,2021-10-02,CUST276,Female,21,Accessories,4,25,100,2021,10,18-25,25.0
277,2021-08-18,CUST277,Male,36,Home,4,25,100,2021,8,36-50,25.0
278,2021-03-13,CUST278,Female,37,Electronics,4,25,100,2021,3,36-50,25.0
279,2021-08-05,CUST279,Male,50,Beauty,1,500,500,2021,8,36-50,500.0
280,2021-04-04,CUST280,Female,37,Electronics,3,500,1500,2021,4,36-50,500.0
281,2021-05-23,CUST281,Female,29,Sports,4,500,2000,2021,5,26-35,500.0
282,2021-08-25,CUST282,Female,64,Beauty,4,50,200,2021,8,50+,50.0
283,2021-05-08,CUST283,Female,18,Accessories,1,500,500,2021,5,,500.0
284,2021-02-08,CUST284,Male,43,Accessories,4,50,200,2021,2,36-50,50.0
285,2021-08-15,CUST285,Female,31,Electronics,1,25,25,2021,8,26-35,25.0
286,2021-10-09,CUST286,Male,55,Electronics,2,25,50,2021,10,50+,25.0
287,2021-02-20,CUST287,Male,54,Home,4,25,100,2021,2,50+,25.0
288,2021-01-26,CUST288,Male,28,Home,4,30,120,2021,1,26-35,30.0
289,2021-11-30,CUST289,Male,53,Books,2,30,60,2021,11,50+,30.0
290,2021-10-04,CUST290,Female,30,Accessories,2,300,600,2021,10,26-35,300.0
291,2021-01-08,CUST291,Male,60,Electronics,2,300,600,2021,1,50+,300.0
292,2021-02-17,CUST292,Male,20,Home,4,300,1200,2021,2,18-25,300.0
293,2021-05-02,CUST293,Male,50,Beauty,3,30,90,2021,5,36-50,30.0
294,2021-03-27,CUST294,Female,23,Beauty,3,30,90,2021,3,18-25,30.0
295,2021-07-28,CUST295,Female,27,Books,3,300,900,2021,7,26-35,300.0
296,2021-09-06,CUST296,Female,22,Beauty,4,300,1200,2021,9,18-25,300.0
297,2021-09-04,CUST297,Female,40,Clothing,2,500,1000,2021,9,36-50,500.0
298,2021-04-20,CUST298,Male,27,Books,4,300,1200,2021,4,26-35,300.0
299,2021-07-25,CUST299,Male,61,Beauty,2,500,1000,2021,7,50+,500.0
300,2021-01-31,CUST300,Female,19,Clothing,4,50,200,2021,1,18-25,50.0
301,2021-03-26,CUST301,Male,30,Sports,4,30,120,2021,3,26-35,30.0
302,2021-07-14,CUST302,Male,57,Electronics,2,300,600,2021,7,50+,300.0
303,2021-01-02,CUST303,Male,19,Electronics,3,30,90,2021,1,18-25,30.0
304,2021-07-19,CUST304,Female,37,Sports,2,30,60,2021,7,36-50,30.0
305,2021-05-16,CUST305,Female,18,Electronics,1,30,30,2021,5,,30.0
306,2021-08-21,CUST306,Male,54,Home,1,50,50,2021,8,50+,50.0
307,2021-05-27,CUST307,Female,26,Sports,2,25,50,2021,5,26-35,25.0
308,2021-08-05,CUST308,Female,34,Beauty,4,300,1200,2021,8,26-35,300.0
309,2021-12-23,CUST309,Female,26,Home,1,25,25,2021,12,26-35,25.0
310,2021-10-12,CUST310,Female,28,Electronics,1,25,25,2021,10,26-35,25.0
311,2021-12-05,CUST311,Female,32,Home,4,25,100,2021,12,26-35,25.0
312,2021-09-07,CUST312,Male,41,Home,4,30,120,2021,9,36-50,30.0
313,2021-03-21,CUST313,Female,55,Home,3,500,1500,2021,3,50+,500.0
314,2021-04-08,CUST314,Male,52,Books,4,30,120,2021,4,50+,30.0
315,2021-06-01,CUST315,Male,47,Clothing,2,30,60,2021,6,36-50,30.0
316,2021-04-22,CUST316,Female,48,Electronics,2,25,50,2021,4,36-50,25.0
317,2021-01-30,CUST317,Male,22,Home,3,30,90,2021,1,18-25,30.0
318,2021-10-24,CUST318,Male,61,Accessories,1,25,25,2021,10,50+,25.0
319,2021-10-05,CUST319,Male,31,Beauty,1,500,500,2021,10,26-35,500.0
320,2021-02-01,CUST320,Female,28,Electronics,4,300,1200,2021,2,26-35,300.0
321,2021-06-10,CUST321,Female,26,Accessories,2,25,50,2021,6,26-35,25.0
322,2021-01-30,CUST322,Male,51,Sports,1,500,500,2021,1,50+,500.0
323,2021-01-26,CUST323,Female,29,Sports,3,300,900,2021,1,26-35,300.0
324,2021-10-27,CUST324,Female,52,Home,3,50,150,2021,10,50+,50.0
325,2021-09-02,CUST325,Female,52,Electronics,2,25,50,2021,9,50+,25.0
326,2021-09-15,CUST326,Female,18,Home,3,25,75,2021,9,,25.0
327,2021-09-29,CUST327,Male,57,Home,3,50,150,2021,9,50+,50.0
328,2021-03-22,CUST328,Male,39,Clothing,2,50,100,2021,3,36-50,50.0
329,2021-01-30,CUST329,Female,46,Electronics,4,25,100,2021,1,36-50,25.0
